class_id, class_name, confidence
181, Suzuki Aerio Sedan 2007, 0.9989732503890991
103, Ferrari 458 Italia Convertible 2012, 0.9998047947883606
145, Jeep Patriot SUV 2012, 0.9999932050704956
187, Toyota Camry Sedan 2012, 0.9999785423278809
185, Tesla Model S Sedan 2012, 0.9999164342880249
78, Chrysler Town and Country Minivan 2012, 0.9998127818107605
118, GMC Terrain SUV 2012, 0.999832034111023
165, Mercedes-Benz S-Class Sedan 2012, 0.999947190284729
32, BMW X5 SUV 2007, 0.9999282360076904
60, Chevrolet HHR SS 2010, 0.9999933242797852
49, Buick Verano Sedan 2012, 0.993579626083374
108, Ford Freestar Minivan 2007, 0.9999722242355347
116, Ford E-Series Wagon Van 2012, 0.6407294869422913
135, Hyundai Elantra Sedan 2007, 0.9932255148887634
83, Dodge Caliber Wagon 2012, 0.9995872378349304
51, Cadillac CTS-V Sedan 2012, 0.9999113082885742
154, Land Rover Range Rover SUV 2012, 0.9999991655349731
33, BMW X6 SUV 2012, 0.9958111047744751
22, Audi S5 Coupe 2012, 0.9762439131736755
32, BMW X5 SUV 2007, 0.9997095465660095
151, Lamborghini Aventador Coupe 2012, 0.9992105960845947
4, Acura TL Type-S 2008, 0.8543559908866882
81, Chrysler PT Cruiser Convertible 2008, 0.999998927116394
59, Chevrolet Camaro Convertible 2012, 0.9286841750144958
165, Mercedes-Benz S-Class Sedan 2012, 0.9963460564613342
191, Volkswagen Golf Hatchback 1991, 0.998198926448822
170, Nissan Juke Hatchback 2012, 0.9999988079071045
195, Volvo XC90 SUV 2007, 0.9726747870445251
91, Dodge Dakota Club Cab 2007, 0.8848708271980286
5, Acura TSX Sedan 2012, 0.9973381161689758
164, Mercedes-Benz E-Class Sedan 2012, 0.9891647696495056
148, Jeep Grand Cherokee SUV 2012, 0.9968871474266052
187, Toyota Camry Sedan 2012, 0.9999983310699463
44, Bentley Continental Flying Spur Sedan 2007, 0.7425495982170105
33, BMW X6 SUV 2012, 0.8653140664100647
7, Acura ZDX Hatchback 2012, 0.9999990463256836
31, BMW 6 Series Convertible 2007, 0.9794883131980896
69, Chevrolet Silverado 2500HD Regular Cab 2012, 0.5486013889312744
30, BMW 3 Series Wagon 2012, 0.999872088432312
166, Mercedes-Benz Sprinter Van 2012, 0.9999898672103882
180, Spyker C8 Coupe 2009, 0.9738301634788513
106, Ford F-450 Super Duty Crew Cab 2012, 0.9998557567596436
3, Acura TL Sedan 2012, 0.9257453083992004
65, Chevrolet Avalanche Crew Cab 2012, 0.9998675584793091
191, Volkswagen Golf Hatchback 1991, 0.9999991655349731
35, BMW M5 Sedan 2010, 0.9982921481132507
75, Chevrolet Silverado 1500 Regular Cab 2012, 0.924437940120697
85, Dodge Caravan Minivan 1997, 0.9999990463256836
25, Audi TT RS Coupe 2012, 0.9980883002281189
168, Nissan Leaf Hatchback 2012, 0.9999957084655762
137, Hyundai Genesis Sedan 2012, 0.9999517202377319
134, Hyundai Sonata Hybrid Sedan 2012, 0.9999755620956421
191, Volkswagen Golf Hatchback 1991, 0.9999991655349731
156, Lincoln Town Car Sedan 2011, 0.9999775886535645
181, Suzuki Aerio Sedan 2007, 0.9999885559082031
120, GMC Yukon Hybrid SUV 2012, 0.9999722242355347
75, Chevrolet Silverado 1500 Regular Cab 2012, 0.9924576282501221
130, Hyundai Veloster Hatchback 2012, 0.9996527433395386
128, Honda Accord Coupe 2012, 0.9996258020401001
36, BMW M6 Convertible 2010, 0.9999827146530151
35, BMW M5 Sedan 2010, 0.659994900226593
118, GMC Terrain SUV 2012, 0.9104751348495483
171, Nissan 240SX Coupe 1998, 0.9999904632568359
37, BMW X3 SUV 2012, 0.9978731870651245
64, Chevrolet Express Cargo Van 2007, 0.62137770652771
183, Suzuki SX4 Hatchback 2012, 0.9999710321426392
164, Mercedes-Benz E-Class Sedan 2012, 0.779110312461853
83, Dodge Caliber Wagon 2012, 0.9142853021621704
43, Bentley Continental GT Coupe 2007, 0.9966360330581665
16, Audi V8 Sedan 1994, 0.3974364697933197
76, Chrysler Aspen SUV 2009, 0.999969482421875
137, Hyundai Genesis Sedan 2012, 0.9999995231628418
51, Cadillac CTS-V Sedan 2012, 0.9999983310699463
130, Hyundai Veloster Hatchback 2012, 0.9999972581863403
168, Nissan Leaf Hatchback 2012, 0.9999992847442627
1, AM General Hummer SUV 2000, 0.9992583394050598
145, Jeep Patriot SUV 2012, 0.9990907907485962
60, Chevrolet HHR SS 2010, 0.9999985694885254
63, Chevrolet Sonic Sedan 2012, 0.9999997615814209
174, Ram C/V Cargo Van Minivan 2012, 0.9993811845779419
174, Ram C/V Cargo Van Minivan 2012, 0.9999929666519165
16, Audi V8 Sedan 1994, 0.9928394556045532
105, Fisker Karma Sedan 2012, 0.9999978542327881
50, Buick Enclave SUV 2012, 0.8781846165657043
7, Acura ZDX Hatchback 2012, 0.9251438975334167
195, Volvo XC90 SUV 2007, 0.9507381319999695
191, Volkswagen Golf Hatchback 1991, 0.8192405104637146
82, Daewoo Nubira Wagon 2002, 0.99997878074646
192, Volkswagen Beetle Hatchback 2012, 0.9999990463256836
93, Dodge Challenger SRT8 2011, 0.8883656859397888
51, Cadillac CTS-V Sedan 2012, 0.9999991655349731
146, Jeep Wrangler SUV 2012, 0.9999996423721313
82, Daewoo Nubira Wagon 2002, 0.9978235960006714
96, Dodge Charger Sedan 2012, 0.7670947313308716
187, Toyota Camry Sedan 2012, 0.9997527003288269
39, Bentley Continental Supersports Conv. Convertible 2012, 0.8850284814834595
115, Ford Focus Sedan 2007, 0.9995023012161255
113, Ford F-150 Regular Cab 2012, 0.9948667287826538
152, Lamborghini Gallardo LP 570-4 Superleggera 2012, 0.9999995231628418
92, Dodge Magnum Wagon 2008, 0.9999909400939941
189, Toyota 4Runner SUV 2012, 0.9998258948326111
21, Audi S5 Convertible 2012, 0.47268837690353394
34, BMW M3 Coupe 2012, 0.9999445676803589
87, Dodge Ram Pickup 3500 Quad Cab 2009, 0.999983549118042
187, Toyota Camry Sedan 2012, 0.538216769695282
143, Isuzu Ascender SUV 2008, 0.9999788999557495
36, BMW M6 Convertible 2010, 0.9915744662284851
130, Hyundai Veloster Hatchback 2012, 0.9983389377593994
30, BMW 3 Series Wagon 2012, 0.9999929666519165
20, Audi S6 Sedan 2011, 0.999982476234436
178, Scion xD Hatchback 2012, 0.9178049564361572
12, Audi RS 4 Convertible 2008, 0.9999880790710449
170, Nissan Juke Hatchback 2012, 0.9767381548881531
33, BMW X6 SUV 2012, 0.9999123811721802
164, Mercedes-Benz E-Class Sedan 2012, 0.9999688863754272
154, Land Rover Range Rover SUV 2012, 0.9999953508377075
46, Bugatti Veyron 16.4 Coupe 2009, 0.9999873638153076
61, Chevrolet Impala Sedan 2007, 0.999970555305481
9, Aston Martin V8 Vantage Coupe 2012, 0.9999935626983643
31, BMW 6 Series Convertible 2007, 0.9996331930160522
69, Chevrolet Silverado 2500HD Regular Cab 2012, 0.6272927522659302
120, GMC Yukon Hybrid SUV 2012, 0.9999818801879883
57, Chevrolet Corvette Ron Fellows Edition Z06 2007, 0.9999514818191528
174, Ram C/V Cargo Van Minivan 2012, 0.9999979734420776
43, Bentley Continental GT Coupe 2007, 0.7882000803947449
29, BMW 3 Series Sedan 2012, 0.9995003938674927
121, GMC Acadia SUV 2012, 0.9999961853027344
6, Acura Integra Type R 2001, 0.9999970197677612
108, Ford Freestar Minivan 2007, 0.9990276098251343
6, Acura Integra Type R 2001, 0.9999963045120239
106, Ford F-450 Super Duty Crew Cab 2012, 0.18531881272792816
70, Chevrolet Silverado 1500 Classic Extended Cab 2007, 0.9999791383743286
23, Audi S4 Sedan 2012, 0.9951307773590088
36, BMW M6 Convertible 2010, 0.999990701675415
31, BMW 6 Series Convertible 2007, 0.8974930047988892
109, Ford Expedition EL SUV 2009, 0.9974167346954346
4, Acura TL Type-S 2008, 0.9998674392700195
90, Dodge Dakota Crew Cab 2010, 0.9999979734420776
133, Hyundai Veracruz SUV 2012, 0.9999213218688965
126, Honda Odyssey Minivan 2012, 0.9999996423721313
138, Hyundai Sonata Sedan 2012, 0.999068558216095
48, Buick Rainier SUV 2007, 0.48133593797683716
59, Chevrolet Camaro Convertible 2012, 0.9467318058013916
124, HUMMER H3T Crew Cab 2010, 0.9473317265510559
53, Cadillac Escalade EXT Crew Cab 2007, 0.9994866847991943
154, Land Rover Range Rover SUV 2012, 0.999996542930603
59, Chevrolet Camaro Convertible 2012, 0.9696664810180664
28, BMW 1 Series Coupe 2012, 0.9993953704833984
14, Audi TTS Coupe 2012, 0.9942600727081299
64, Chevrolet Express Cargo Van 2007, 0.4947730600833893
81, Chrysler PT Cruiser Convertible 2008, 0.9999998807907104
26, BMW ActiveHybrid 5 Sedan 2012, 0.9900692105293274
186, Toyota Sequoia SUV 2012, 0.9997343420982361
159, Mazda Tribute SUV 2011, 0.9971355199813843
19, Audi TT Hatchback 2011, 0.9917868971824646
172, Plymouth Neon Coupe 1999, 1.0
82, Daewoo Nubira Wagon 2002, 0.9999934434890747
10, Aston Martin Virage Convertible 2012, 0.9997536540031433
41, Bentley Mulsanne Sedan 2011, 0.9473481774330139
83, Dodge Caliber Wagon 2012, 0.32482895255088806
152, Lamborghini Gallardo LP 570-4 Superleggera 2012, 0.8389044404029846
179, Spyker C8 Convertible 2009, 0.7438722848892212
46, Bugatti Veyron 16.4 Coupe 2009, 0.8948829770088196
98, Eagle Talon Hatchback 1998, 0.9480915665626526
180, Spyker C8 Coupe 2009, 0.7796013951301575
10, Aston Martin Virage Convertible 2012, 0.9245002865791321
37, BMW X3 SUV 2012, 0.9998675584793091
71, Chevrolet Express Van 2007, 0.9716774225234985
107, Ford Mustang Convertible 2007, 0.7119170427322388
88, Dodge Sprinter Cargo Van 2009, 0.999805748462677
43, Bentley Continental GT Coupe 2007, 0.8246232867240906
160, McLaren MP4-12C Coupe 2012, 0.9994720816612244
147, Jeep Liberty SUV 2012, 0.8679797053337097
25, Audi TT RS Coupe 2012, 0.9624364972114563
105, Fisker Karma Sedan 2012, 1.0
